iter	RMSE
0	3.078649055
1	2.966182524
2	2.878041583
3	2.775646565
4	2.679811275
5	2.587707153
6	2.500229126
7	2.433171385
8	2.352491903
9	2.274709472
10	2.200815402
11	2.129922017
12	2.061886118
13	2.024044146
14	1.962493377
15	1.915833146
16	1.855914392
17	1.800151447
18	1.745093383
19	1.693102978
20	1.666084727
21	1.616882344
22	1.57235305
23	1.529138975
24	1.479323966
25	1.436799703
26	1.398275757
27	1.362747049
28	1.327174526
29	1.302933947
30	1.270358813
31	1.240659539
32	1.211175373
33	1.183283836
34	1.152295495
35	1.121524432
36	1.097154633
37	1.074276809
38	1.052245982
39	1.021590222
40	1.002669504
41	0.9790897224
42	0.9716485847
43	0.9480149011
44	0.9254403398
45	0.9039637819
46	0.8792641902
47	0.8662995831
48	0.8509180463
49	0.8329774836
50	0.8188139378
51	0.8023627604
52	0.7953123312
53	0.7843595191
54	0.769636884
55	0.7608517083
56	0.7491825808
57	0.7362947553
58	0.7323631518
59	0.7179962591
60	0.7136816803
61	0.7076252109
62	0.6982060007
63	0.6943034911
64	0.6866316474
65	0.6767287661
66	0.6667579975
67	0.6595558731
68	0.649618758
69	0.6445887666
70	0.6413444092
71	0.6349806264
72	0.6219991186
73	0.6179720059
74	0.6120580435
75	0.6101312242
76	0.6084945455
77	0.6042241111
78	0.600927919
79	0.5973481936
80	0.5958717578
81	0.5842677198
82	0.5813477912
83	0.574460931
84	0.569430212
85	0.5612883866
86	0.5596999706
87	0.5576678241
88	0.5544844087
89	0.5532197613
90	0.551968303
91	0.5499894981
92	0.5478970637
93	0.5416610182
94	0.5392892316
95	0.5380792553
96	0.531484707
97	0.5280672531
98	0.5250768911
99	0.5238154173
100	0.5221980371
101	0.5190620064
102	0.5176243275
103	0.5164854533
104	0.5153876865
105	0.5142569452
106	0.5129810722
107	0.5120807742
108	0.5085706486
109	0.506250676
110	0.5021156938
111	0.5011744797
112	0.5001933887
113	0.4990664811
114	0.4979106853
115	0.4960255351
116	0.4950704621
117	0.4939840193
118	0.4929690778
119	0.4918973939
120	0.4911212669
121	0.4838355793
122	0.482475236
123	0.4818388229
124	0.4809213191
125	0.4799830377
126	0.4785294908
127	0.4778467846
128	0.4732024534
129	0.4725153624
130	0.4714039959
131	0.4703714359
132	0.4686618552
133	0.4672213466
134	0.465820593
135	0.4644169036
136	0.4631792139
137	0.4624121878
138	0.4595918203
139	0.4586210525
140	0.4577558831
141	0.451446384
142	0.4506299671
143	0.4498434844
144	0.448596636
145	0.4461599043
146	0.4449467755
147	0.4444172204
148	0.4432603989
149	0.4419711658
150	0.4412574567
151	0.4395335861
152	0.4384803086
153	0.4371816958
154	0.4365662109
155	0.4352957427
156	0.4343391557
157	0.4314614669
158	0.4302901843
159	0.4291573497
160	0.4283710162
161	0.4274028551
162	0.4263944652
163	0.4252857561
164	0.4241933587
165	0.4227486803
166	0.421593975
167	0.4209519747
168	0.4187952789
169	0.4173351369
170	0.4156817721
171	0.4145815313
172	0.4134972593
173	0.4125209399
174	0.4115475295
175	0.4102276482
176	0.409444873
177	0.4082873794
178	0.4071335209
179	0.4059419902
180	0.4047339621
181	0.4040709433
182	0.402782927
183	0.4017673761
184	0.4009680234
185	0.3999936583
186	0.3992792435
187	0.3980441325
188	0.3947177711
189	0.3943564392
190	0.3927409666
191	0.391902499
192	0.3913737521
193	0.3903190678
194	0.3895945711
195	0.3888020493
196	0.3879344775
197	0.3870472583
198	0.3864141667
199	0.3852935536
200	0.3843745476
201	0.3836113597
202	0.3829645807
203	0.3820665608
204	0.3812604218
205	0.3802587025
206	0.3792597816
207	0.3780902835
208	0.3767184343
209	0.3750952285
210	0.3745549291
211	0.3738951833
212	0.3727294294
213	0.3696506808
214	0.3686834676
215	0.3677880574
216	0.3666237524
217	0.3655836992
218	0.3626807388
219	0.3616529682
220	0.361077646
221	0.360763701
222	0.3592753954
223	0.3582275964
224	0.3573187467
225	0.3567502955
226	0.3557708173
227	0.3548798452
228	0.3542520791
229	0.3533783888
230	0.3524129967
231	0.3517723595
232	0.3509327721
233	0.3502995888
234	0.3494123147
235	0.3488176652
236	0.3461376285
237	0.3450599943
238	0.3426324929
239	0.3420525328
240	0.3412495971
241	0.3371614181
242	0.3363090806
243	0.3354184403
244	0.3345389678
245	0.3337341177
246	0.3325461513
247	0.3316539233
248	0.3313548301
249	0.3304711081
250	0.3294921473
251	0.3287833721
252	0.3250538986
253	0.3247229069
254	0.3242641738
255	0.323248755
256	0.3228831526
257	0.3217932322
258	0.318323916
259	0.3179187786
260	0.3160316472
261	0.3154086732
262	0.3151037727
263	0.3143891864
264	0.3136355345
265	0.3124956562
266	0.3118107312
267	0.3110562566
268	0.3101684782
269	0.3089424796
270	0.3079739811
271	0.3072012701
272	0.3069134924
273	0.3062204081
274	0.3057768994
275	0.3051511173
276	0.3041870485
277	0.3034137171
278	0.3031457077
279	0.3024973491
280	0.3018092989
281	0.3016184389
282	0.3011418364
283	0.2980687639
284	0.2978232029
285	0.2971473871
286	0.2963275615
287	0.2953550264
288	0.2950352751
289	0.2942453104
290	0.2935522737
291	0.293189298
292	0.2928757413
293	0.2919978293
294	0.2911982007
295	0.2905957334
296	0.2903339728
297	0.2898331677
298	0.2891757066
299	0.2886112154
300	0.2878443968
301	0.2875488484
302	0.2872985806
303	0.2866439952
304	0.2847735891
305	0.2844908385
306	0.2839204
307	0.2836044822
308	0.282980498
309	0.2824387145
310	0.2818508845
311	0.2811220483
312	0.2804104183
313	0.2795681918
314	0.2788929775
315	0.2781828186
316	0.2774704918
317	0.2770891565
318	0.2768290795
319	0.2761388191
320	0.2756079838
321	0.2750012898
322	0.274287376
323	0.2736058477
324	0.2730206382
325	0.2725256251
326	0.2721234069
327	0.2716242661
328	0.2710631706
329	0.2705223357
330	0.2698774613
331	0.2693710992
332	0.2675531241
333	0.2668062966
334	0.2661620433
335	0.2655812154
336	0.2647747594
337	0.2641940298
338	0.2636022671
339	0.2633186034
340	0.2627766456
341	0.2624986918
342	0.2618999192
343	0.2614762662
344	0.2610165365
345	0.2606386262
346	0.2604192149
347	0.2598387326
348	0.2595024933
349	0.25882464
350	0.2583709655
351	0.257916755
352	0.2572109594
353	0.2565271286
354	0.2559286698
355	0.2554058279
356	0.2543087886
357	0.2539467879
358	0.2534522
359	0.2528051621
360	0.2511857929
361	0.2507258684
362	0.2501959914
363	0.2486573482
364	0.2481418898
365	0.2476395206
366	0.246889135
367	0.246393758
368	0.245980145
369	0.2454232998
370	0.2448640417
371	0.2442858492
372	0.2437021121
373	0.2425324035
374	0.2419397667
375	0.2412983607
376	0.2407974227
377	0.2404440027
378	0.2391132653
379	0.2385186643
380	0.2379668494
381	0.2375828366
382	0.2371389168
383	0.2367784188
384	0.2362372744
385	0.2358395813
386	0.2353726216
387	0.2347627799
388	0.2342123699
389	0.234019558
390	0.2334670109
391	0.2332364587
392	0.2326632866
393	0.2320506374
394	0.2314700032
395	0.2310270711
396	0.2306029706
397	0.2302246733
398	0.2297564768
399	0.2292978003
400	0.228766574
401	0.2285435814
402	0.2283402468
403	0.2278752446
404	0.2275180645
405	0.2269234411
406	0.2265977512
407	0.224444986
408	0.2239049962
409	0.2235769338
410	0.2231277179
411	0.2226810916
412	0.2220147668
413	0.2215023889
414	0.2210320622
415	0.2208224044
416	0.2206025931
417	0.2200812647
418	0.2196406707
419	0.2192253774
420	0.2190762795
421	0.2189635644
422	0.2187606975
423	0.2182846673
424	0.2179917798
425	0.2176880995
426	0.2171945091
427	0.2169177628
428	0.2166600373
429	0.2158473092
430	0.2153441229
431	0.2148564834
432	0.2143133168
433	0.2138093671
434	0.2133231766
435	0.2128900585
436	0.2127501603
437	0.2122467803
438	0.2118056128
439	0.2113582741
440	0.2108311868
441	0.2103894583
442	0.2102301817
443	0.209913024
444	0.2095166638
445	0.209212317
446	0.2088657523
447	0.2069802622
448	0.2065124156
449	0.206116053
450	0.2056184127
451	0.2050946177
452	0.2046087902
453	0.2043894275
454	0.2039808939
455	0.2037432905
456	0.2033248192
457	0.2029323124
458	0.2023254365
459	0.2021401686
460	0.201994223
461	0.2002456399
462	0.1999551868
463	0.1995047181
464	0.1991484295
465	0.1990122926
466	0.1987984646
467	0.1985408174
468	0.1982320049
469	0.1978281221
470	0.1972975185
471	0.1968856965
472	0.196536061
473	0.1962191327
474	0.1959219765
475	0.1954274274
476	0.1942449611
477	0.1939539391
478	0.1934642451
479	0.1930542944
480	0.1924671066
481	0.1920230447
482	0.1917144027
483	0.191429084
484	0.1912083475
485	0.1908182305
486	0.1904018699
487	0.1902261037
488	0.1897711543
489	0.1894311198
490	0.1892077889
491	0.188826262
492	0.1885955873
493	0.1881349506
494	0.1878107734
495	0.1875261425
496	0.1871814035
497	0.1870457152
498	0.1865841318
499	0.1861336761
500	0.1858858659
501	0.1855982891
502	0.1853411455
503	0.1848995125
504	0.1845993661
505	0.1842843969
506	0.1839079923
507	0.1836560565
508	0.1833746362
509	0.1829927817
510	0.182672761
511	0.1822744958
512	0.1813349461
513	0.1809153134
514	0.1808396806
515	0.1805652428
516	0.1802187468
517	0.1799332805
518	0.1797819264
519	0.179389467
520	0.1790187804
521	0.17852587
522	0.1778208577
523	0.1775776802
524	0.1772726608
525	0.1770174796
526	0.1766460552
527	0.1763055513
528	0.1760805453
529	0.1757442114
530	0.1755093687
531	0.1751706791
532	0.1748251337
533	0.1743887856
534	0.1740220963
535	0.1739074684
536	0.1735050838
537	0.1731790411
538	0.1728970413
539	0.1726777004
540	0.1723385034
541	0.1720522513
542	0.1714054801
543	0.1713415244
544	0.170931014
545	0.1706139466
546	0.1701708211
547	0.1700004924
548	0.169684443
549	0.1693510655
550	0.1691431416
551	0.169004868
552	0.1688679821
553	0.1685421898
554	0.1681638912
555	0.167897515
556	0.1677616245
557	0.167375918
558	0.1669486658
559	0.1667063888
560	0.1664349486
561	0.1660933464
562	0.1657815668
563	0.16539161
564	0.1650710454
565	0.1649473935
566	0.1645964172
567	0.1641543676
568	0.1640312748
569	0.1639656816
570	0.163631712
571	0.1626740153
572	0.162351153
573	0.1621433213
574	0.1620046867
575	0.1618736351
576	0.1616619444
577	0.1614040731
578	0.1611448248
579	0.1609896035
580	0.1605691729
581	0.1604064772
582	0.1601848169
583	0.1599103831
584	0.1596587952
585	0.1594618329
586	0.1592051458
587	0.1589450207
588	0.1587066183
589	0.1584803651
590	0.1582555169
591	0.1581470984
592	0.1579495031
593	0.1576542169
594	0.1573412631
595	0.1571357404
596	0.1570799681
597	0.1569091559
598	0.156861557
599	0.1565463335
600	0.1556589515
601	0.1555416035
602	0.1547279094
603	0.1544000987
604	0.1535567664
605	0.1534460842
606	0.153258608
607	0.1529950615
608	0.1528054064
609	0.1524692568
610	0.152416919
611	0.1521101751
612	0.1519911522
613	0.151877547
614	0.1516327145
615	0.1513913733
616	0.151228448
617	0.1511353193
618	0.1510233927
619	0.1509374918
620	0.1504489695
621	0.1502946929
622	0.1500214257
623	0.1497337791
624	0.1494885711
625	0.1492154578
626	0.1488641907
627	0.1486820342
628	0.1486305158
629	0.1484843483
630	0.1482400285
631	0.1481449266
632	0.1477588098
633	0.1475077452
634	0.1471422146
635	0.1468418504
636	0.1466013295
637	0.1463006283
638	0.14602828
639	0.1456833452
640	0.145402884
641	0.1451423076
642	0.1449787131
643	0.1447880946
644	0.1446298386
645	0.1443117848
646	0.1440455037
647	0.14397583
648	0.1436836524
649	0.1433895667
650	0.143184454
651	0.1430263295
652	0.1427350813
653	0.1424090952
654	0.1421786754
655	0.1419027475
656	0.1416851005
657	0.1414744227
658	0.1411571875
659	0.1410627759
660	0.1407694113
661	0.1404721137
662	0.1402729054
663	0.1400153121
664	0.1397160493
665	0.1395368273
666	0.1392996594
667	0.1391435908
668	0.1380264347
669	0.1379469242
670	0.1376346576
671	0.1373502999
672	0.1372118533
673	0.1369835542
674	0.1367295619
675	0.1365551868
676	0.1363123725
677	0.1360048545
678	0.1358313707
679	0.1355513899
680	0.1354716074
681	0.1351724514
682	0.134918642
683	0.1347592028
684	0.1346914062
685	0.1344736901
686	0.1343692399
687	0.1342121205
688	0.1338496023
689	0.1334770429
690	0.1331963242
691	0.1329183946
692	0.1328430286
693	0.1326913832
694	0.132464946
695	0.1322151049
696	0.1320980986
697	0.1319908204
698	0.131831041
699	0.1314889928
700	0.131168442
701	0.1309733776
702	0.1305908755
703	0.1302503363
704	0.1299939526
705	0.1298797859
706	0.1292315727
707	0.1289864906
708	0.1286925961
709	0.1284427751
710	0.1282943925
711	0.1282361449
712	0.1280059674
713	0.1277483552
714	0.1275347642
715	0.1272731122
716	0.1271013988
717	0.1268513233
718	0.1266116974
719	0.1262930049
720	0.1261046777
721	0.1259205378
722	0.1256876668
723	0.1254231281
724	0.1252246243
725	0.1251687553
726	0.1250299274
727	0.1248868552
728	0.124562921
729	0.1243105061
730	0.1242274241
731	0.1240654328
732	0.1237985708
733	0.1237186329
734	0.123653002
735	0.1234161488
736	0.1233618384
737	0.1233121838
738	0.1230913471
739	0.1228978693
740	0.1225551056
741	0.1222482447
742	0.1220780082
743	0.1214331916
744	0.1213791366
745	0.1211015308
746	0.1209892368
747	0.1209140723
748	0.1207226215
749	0.1205974655
750	0.1204027602
751	0.1201552704
752	0.120040803
753	0.1198101327
754	0.1196762791
755	0.1195654928
756	0.1194256593
757	0.1192393555
758	0.1191906919
759	0.1190303268
760	0.118799273
761	0.1185922571
762	0.1183902899
763	0.1182174349
764	0.1180437622
765	0.117832898
766	0.117634231
767	0.1174509014
768	0.1174061207
769	0.1172431162
770	0.1170266918
771	0.1168933881
772	0.1168140945
773	0.1165913883
774	0.1164692336
775	0.116312834
776	0.1161605211
777	0.1159543626
778	0.115925475
779	0.1157806403
780	0.1156433593
781	0.1154826516
782	0.115330847
783	0.1151494306
784	0.114995402
785	0.1148266201
786	0.114617278
787	0.1145165806
788	0.1142958636
789	0.1141497739
790	0.1140634045
791	0.1139906205
792	0.1138568786
793	0.1136306842
794	0.1132978922
795	0.1130792973
796	0.112902776
797	0.1127404896
798	0.1125602212
799	0.1123203437
800	0.1121772748
801	0.1120816288
802	0.1118634399
803	0.1117097324
804	0.1115644808
805	0.1113777865
806	0.1111860149
807	0.1111431664
808	0.1109745725
809	0.1107773167
810	0.1106663231
811	0.1106261076
812	0.1104200555
813	0.1103607822
814	0.1102085221
815	0.1100524611
816	0.1098449849
817	0.1097166215
818	0.1093937419
819	0.1091563718
820	0.1089633517
821	0.1088232221
822	0.1085225965
823	0.1084614272
824	0.1083103376
825	0.1081863858
826	0.10788903
827	0.1076756509
828	0.1074608707
829	0.1072972751
830	0.1071014115
831	0.1070020225
832	0.1068117482
833	0.1065785874
834	0.1064280825
835	0.1062400009
836	0.1061159043
837	0.1059727104
838	0.1057458387
839	0.1056139826
840	0.105510853
841	0.1053762003
842	0.1052256421
843	0.1050403545
844	0.1048139976
845	0.1046018281
846	0.1045415443
847	0.104338268
848	0.1042972498
849	0.1041263959
850	0.1039135445
851	0.1037133059
852	0.1035745187
853	0.1035389896
854	0.103415413
855	0.1032731123
856	0.1032352824
857	0.103074471
858	0.1029876572
859	0.1029643853
860	0.1026905844
861	0.1026322735
862	0.1024959815
863	0.1022999746
864	0.1021273732
865	0.102056806
866	0.101944011
867	0.1018425457
868	0.1017752884
869	0.1016471893
870	0.1015210899
871	0.1013869414
872	0.1011873569
873	0.1010670021
874	0.1009846881
875	0.1009504059
876	0.1007796323
877	0.1007085995
878	0.1005316872
879	0.1002761941
880	0.1001154245
881	0.09997692623
882	0.09974925426
883	0.09956982523
884	0.09938063562
885	0.09914514816
886	0.09900939954
887	0.09875232558
888	0.09871758372
889	0.09853690802
890	0.09847513157
891	0.09836122876
892	0.098206923
893	0.0981539563
894	0.09804555492
895	0.09794129746
896	0.09777091215
897	0.09775125854
898	0.09767918395
899	0.0975341076
900	0.0974372241
901	0.09701323015
902	0.09688841155
903	0.09676842453
904	0.09658277085
905	0.09648282603
906	0.09621742118
907	0.09602469663
908	0.09584328294
909	0.09571080402
910	0.0955377967
911	0.09535471635
912	0.09516794023
913	0.09506866273
914	0.09489809454
915	0.09469832295
916	0.09458573224
917	0.09441245827
918	0.09429345049
919	0.09416396488
920	0.09408403864
921	0.09389278218
922	0.09365236542
923	0.09353973349
924	0.09335002673
925	0.09331778417
926	0.09321185257
927	0.09308171201
928	0.0929122825
929	0.09275196238
930	0.09264365882
931	0.09253034355
932	0.09239894623
933	0.09229814119
934	0.09213178523
935	0.09200255096
936	0.09191566069
937	0.09183214826
938	0.09174224359
939	0.09164342064
940	0.09148161098
941	0.09138848335
942	0.09121128383
943	0.09112677464
944	0.09099751508
945	0.09082379069
946	0.09065739314
947	0.0905517155
948	0.0903770254
949	0.09028505842
950	0.09011250023
951	0.09001917223
952	0.08987688141
953	0.08976055115
954	0.08969179553
955	0.08959925786
956	0.08934963195
957	0.08917163379
958	0.08901739479
959	0.08886765665
960	0.08877657922
961	0.0886841225
962	0.08860461058
963	0.08848455579
964	0.08837637936
965	0.08821375621
966	0.08803231934
967	0.08788822852
968	0.08774141095
969	0.08765833215
970	0.08750917885
971	0.08741976776
972	0.0873809324
973	0.08715824474
974	0.08708050911
975	0.08704723916
976	0.08695154823
977	0.08684031405
978	0.08667193816
979	0.08648749752
980	0.08640025359
981	0.08626898343
982	0.08615707862
983	0.08598927538
984	0.08588789404
985	0.08582828408
986	0.08573374366
987	0.08555823626
988	0.08539456419
989	0.08532299999
990	0.08516821429
991	0.08499895442
992	0.08483804631
993	0.08472804466
994	0.08461311049
995	0.08446375981
996	0.0843053563
997	0.08422809723
998	0.08414422637
999	0.08400478577
