iter	Passed	Remaining
0	157	157365
1	166	83006
2	174	57846
3	183	45729
4	193	38475
5	201	33370
6	211	30044
7	222	27569
8	232	25550
9	243	24072
10	254	22840
11	263	21706
12	274	20869
13	284	20069
14	295	19404
15	307	18881
16	317	18376
17	326	17793
18	335	17332
19	345	16928
20	356	16604
21	365	16231
22	374	15924
23	383	15609
24	392	15322
25	402	15078
26	412	14854
27	421	14615
28	430	14424
29	441	14260
30	448	14032
31	458	13874
32	468	13733
33	477	13558
34	485	13375
35	494	13249
36	506	13182
37	518	13128
38	526	12968
39	534	12833
40	543	12704
41	551	12578
42	559	12449
43	566	12318
44	575	12211
45	582	12085
46	591	11991
47	599	11889
48	608	11807
49	616	11718
50	625	11637
51	635	11583
52	644	11513
53	654	11465
54	662	11385
55	670	11308
56	679	11240
57	686	11156
58	694	11069
59	702	10998
60	709	10921
61	718	10868
62	727	10823
63	737	10783
64	745	10720
65	752	10649
66	760	10586
67	767	10525
68	777	10489
69	785	10439
70	794	10391
71	802	10338
72	810	10296
73	818	10248
74	829	10229
75	844	10267
76	857	10282
77	868	10260
78	876	10220
79	884	10173
80	892	10129
81	901	10087
82	911	10065
83	920	10038
84	927	9989
85	935	9942
86	943	9904
87	951	9864
88	959	9822
89	968	9795
90	976	9755
91	985	9731
92	997	9729
93	1008	9717
94	1020	9717
95	1032	9720
96	1044	9723
97	1054	9702
98	1064	9686
99	1074	9671
100	1084	9655
101	1097	9658
102	1104	9620
103	1131	9744
104	1161	9896
105	1174	9907
106	1187	9911
107	1201	9926
108	1210	9892
109	1219	9868
110	1230	9851
111	1242	9851
112	1251	9821
113	1305	10148
114	1317	10135
115	1329	10128
116	1343	10138
117	1354	10122
118	1363	10092
119	1375	10088
120	1385	10066
121	1394	10037
122	1403	10010
123	1414	9989
124	1429	10007
125	1442	10005
126	1455	10003
127	1483	10104
128	1498	10120
129	1508	10092
130	1516	10060
131	1523	10020
132	1541	10050
133	1555	10049
134	1563	10018
135	1574	10002
136	1591	10027
137	1599	9992
138	1609	9971
139	1618	9939
140	1634	9957
141	1649	9966
142	1667	9992
143	1684	10014
144	1698	10012
145	1708	9996
146	1722	9993
147	1734	9986
148	1745	9968
149	1755	9945
150	1767	9935
151	1791	9995
152	1806	10002
153	1828	10046
154	1839	10030
155	1851	10016
156	1861	9995
157	1882	10032
158	1897	10036
159	1907	10014
160	1918	9995
161	1929	9981
162	1945	9988
163	1959	9986
164	1970	9972
165	1983	9962
166	1994	9946
167	2006	9935
168	2018	9924
169	2044	9983
170	2052	9951
171	2061	9922
172	2070	9899
173	2079	9871
174	2088	9848
175	2098	9826
176	2107	9801
177	2117	9780
178	2126	9753
179	2134	9724
180	2143	9698
181	2151	9671
182	2161	9651
183	2170	9625
184	2179	9601
185	2187	9573
186	2196	9547
187	2206	9529
188	2213	9500
189	2222	9476
190	2235	9468
191	2246	9453
192	2256	9434
193	2267	9420
194	2282	9423
195	2293	9409
196	2303	9391
197	2312	9367
198	2321	9345
199	2329	9317
200	2338	9294
201	2346	9270
202	2355	9247
203	2364	9225
204	2372	9201
205	2381	9180
206	2395	9177
207	2417	9204
208	2427	9186
209	2436	9164
210	2444	9141
211	2455	9125
212	2466	9111
213	2479	9106
214	2491	9097
215	2500	9075
216	2508	9051
217	2518	9033
218	2526	9011
219	2538	9001
220	2551	8993
221	2565	8990
222	2577	8981
223	2589	8970
224	2599	8953
225	2608	8933
226	2617	8912
227	2627	8895
228	2639	8885
229	2650	8874
230	2661	8860
231	2671	8844
232	2683	8832
233	2694	8820
234	2707	8812
235	2716	8795
236	2727	8779
237	2737	8765
238	2748	8752
239	2757	8731
240	2769	8722
241	2780	8709
242	2793	8702
243	2804	8688
244	2815	8675
245	2826	8663
246	2835	8643
247	2843	8622
248	2852	8602
249	2872	8617
250	2881	8600
251	2890	8580
252	2899	8559
253	2908	8540
254	2918	8527
255	2930	8516
256	2940	8501
257	2950	8486
258	2960	8470
259	2970	8454
260	2981	8442
261	2991	8425
262	3001	8411
263	3010	8394
264	3020	8376
265	3029	8360
266	3040	8346
267	3051	8333
268	3058	8312
269	3068	8295
270	3077	8278
271	3087	8263
272	3097	8249
273	3106	8231
274	3115	8213
275	3123	8194
276	3135	8183
277	3147	8173
278	3155	8155
279	3166	8143
280	3190	8162
281	3202	8153
282	3215	8147
283	3229	8141
284	3240	8129
285	3251	8118
286	3265	8113
287	3281	8113
288	3294	8105
289	3306	8095
290	3326	8103
291	3337	8092
292	3354	8093
293	3369	8091
294	3386	8092
295	3400	8086
296	3419	8092
297	3434	8090
298	3445	8078
299	3456	8065
300	3468	8054
301	3481	8046
302	3493	8037
303	3507	8030
304	3519	8020
305	3530	8007
306	3548	8009
307	3561	8001
308	3573	7990
309	3582	7974
310	3595	7964
311	3607	7955
312	3619	7945
313	3630	7931
314	3641	7919
315	3651	7904
316	3660	7887
317	3675	7883
318	3687	7873
319	3697	7856
320	3709	7845
321	3718	7830
322	3730	7818
323	3742	7807
324	3752	7794
325	3764	7782
326	3774	7767
327	3784	7753
328	3793	7736
329	3803	7721
330	3813	7707
331	3823	7692
332	3832	7675
333	3840	7658
334	3849	7641
335	3860	7629
336	3869	7612
337	3877	7594
338	3886	7578
339	3894	7559
340	3903	7543
341	3912	7526
342	3923	7514
343	3932	7499
344	3943	7486
345	3951	7469
346	3960	7453
347	3970	7438
348	3979	7423
349	3989	7409
350	3998	7394
351	4008	7378
352	4019	7367
353	4032	7359
354	4043	7347
355	4055	7335
356	4070	7330
357	4077	7312
358	4099	7319
359	4110	7307
360	4121	7294
361	4130	7279
362	4142	7268
363	4151	7254
364	4163	7242
365	4170	7224
366	4179	7208
367	4187	7191
368	4198	7180
369	4212	7172
370	4221	7156
371	4230	7141
372	4238	7125
373	4247	7109
374	4256	7094
375	4265	7078
376	4273	7061
377	4281	7045
378	4289	7028
379	4297	7011
380	4304	6993
381	4314	6979
382	4324	6965
383	4348	6975
384	4359	6964
385	4368	6948
386	4377	6934
387	4386	6918
388	4396	6905
389	4406	6892
390	4415	6876
391	4425	6863
392	4435	6850
393	4443	6834
394	4455	6824
395	4468	6815
396	4478	6801
397	4488	6788
398	4497	6774
399	4505	6758
400	4515	6744
401	4523	6729
402	4533	6715
403	4544	6704
404	4558	6696
405	4571	6688
406	4588	6685
407	4600	6674
408	4611	6664
409	4623	6653
410	4635	6642
411	4650	6636
412	4660	6624
413	4673	6615
414	4687	6608
415	4699	6597
416	4713	6589
417	4726	6581
418	4736	6567
419	4751	6562
420	4761	6548
421	4775	6541
422	4790	6534
423	4801	6522
424	4811	6509
425	4822	6497
426	4831	6483
427	4845	6475
428	4858	6466
429	4872	6458
430	4880	6443
431	4890	6430
432	4899	6415
433	4908	6401
434	4917	6386
435	4927	6373
436	4936	6359
437	4945	6345
438	4955	6333
439	4962	6316
440	4972	6302
441	4981	6289
442	4991	6275
443	5000	6261
444	5009	6248
445	5018	6234
446	5027	6219
447	5039	6208
448	5048	6194
449	5057	6181
450	5066	6167
451	5074	6152
452	5082	6137
453	5091	6123
454	5100	6109
455	5109	6094
456	5117	6079
457	5126	6066
458	5135	6052
459	5143	6038
460	5152	6024
461	5160	6009
462	5170	5997
463	5179	5983
464	5188	5969
465	5196	5954
466	5204	5940
467	5212	5925
468	5220	5911
469	5229	5897
470	5238	5884
471	5247	5870
472	5256	5856
473	5269	5847
474	5278	5833
475	5287	5820
476	5296	5807
477	5306	5794
478	5316	5782
479	5325	5769
480	5336	5757
481	5346	5746
482	5355	5732
483	5364	5719
484	5372	5705
485	5381	5691
486	5390	5678
487	5400	5666
488	5408	5651
489	5416	5637
490	5425	5623
491	5433	5610
492	5442	5596
493	5450	5583
494	5459	5569
495	5468	5557
496	5477	5543
497	5486	5531
498	5497	5519
499	5508	5508
500	5517	5495
501	5526	5482
502	5536	5470
503	5555	5467
504	5565	5455
505	5586	5453
506	5595	5441
507	5604	5427
508	5613	5414
509	5622	5401
510	5630	5388
511	5638	5374
512	5647	5361
513	5658	5350
514	5670	5340
515	5678	5326
516	5687	5313
517	5699	5302
518	5708	5290
519	5716	5276
520	5724	5263
